"dummy","n4_1","n4_2","n4_3","n4_4","n4_5","n4_6","n4_7","n4_8","n4_9","n4_10","n4_11","n4_12","n4_13","n4_14","n4_15","n4_16","n4_17","n4_18","n4_19","n4_20","n4_21","n4_22","n4_23","n4_24","n4_25","n4_26","n4_27","n4_28","n4_29","n4_30","n4_31","n4_32","n4_33","n4_34","n4_35"
"n3_11","-0.838733851909637","0.429147779941559","-0.378811985254288","-0.751955151557922","0.459329813718796","0.650561451911926","-0.841147303581238","-0.456772446632385","0.69874507188797","-0.443176478147507","0.506776809692383","-0.752371549606323","0.767645955085754","0.550000905990601","-0.950185120105743","0.735768258571625","-0.519489109516144","-0.305674374103546","-0.49255907535553","-0.540597856044769","0.480087757110596","0.81083744764328","-0.540977299213409","-0.567360401153564","0.528858542442322","0.565135300159454","-0.498164981603622","0.735592126846313","0.704181849956512","-0.576360642910004","0.521844506263733","-0.82935631275177","0.676445841789246","0.850338757038116","0.659293293952942"
"n3_12","0.342242568731308","-0.474915474653244","0.311643064022064","0.45869368314743","-0.293705344200134","-0.436391085386276","0.271290332078934","0.224527895450592","-0.376942962408066","0.578757405281067","-0.356164783239365","0.65537166595459","-0.351850897073746","-0.480927348136902","0.265691369771957","-0.30896919965744","0.681678950786591","0.146978408098221","0.529265522956848","0.715573847293854","-0.149557486176491","-0.364352703094482","0.171880081295967","0.120286054909229","-0.440621674060822","-0.350180089473724","0.506069004535675","-0.476804405450821","-0.41061732172966","0.396530270576477","-0.479033976793289","0.378722369670868","-0.405392915010452","-0.469567894935608","-0.387420654296875"
"n3_13","0.341217994689941","-0.518685042858124","0.296661019325256","0.111418642103672","-0.370390921831131","-0.292471677064896","0.615455269813538","0.158112302422523","-0.381218731403351","0.481485188007355","-0.269023925065994","0.76534241437912","-0.572278141975403","-0.440110743045807","0.492199391126633","-0.240446329116821","0.192241862416267","0.2755087018013","0.405122429132462","0.510184228420258","-0.496122747659683","-0.439504593610764","0.600283443927765","0.112012274563313","-0.340590417385101","-0.608791470527649","0.646064698696136","-0.324009537696838","-0.414822489023209","0.0770148932933807","-0.341913998126984","0.164026364684105","-0.249968037009239","-0.490898162126541","-0.596681892871857"
"n3_14","0.571707546710968","-0.491088807582855","-0.0298858974128962","-0.154141023755074","-0.762306451797485","-0.532412230968475","0.523551166057587","0.0483634434640408","-0.374421536922455","-0.473966240882874","-0.195158496499062","-0.221518829464912","-0.178355664014816","-0.680057406425476","0.938742816448212","-0.392108142375946","-0.0509652197360992","-0.52445912361145","-0.49291917681694","0.0420394614338875","-0.311003476381302","-0.437444269657135","0.603265404701233","0.118441469967365","-0.16738249361515","-0.565260946750641","0.111554555594921","0.179412320256233","-0.53587681055069","-0.281108915805817","-0.426419109106064","0.773975431919098","-0.831977248191833","-0.948711574077606","-0.230974763631821"
"n3_15","-0.273880273103714","0.228897571563721","-0.441396802663803","-0.535231649875641","0.47560441493988","0.547689378261566","-0.252426713705063","-0.197902023792267","0.465129256248474","-0.440599888563156","0.309920698404312","-0.509618401527405","0.560858547687531","0.407051384449005","-0.194644525647163","0.374197989702225","-0.19242899119854","-0.39375251531601","-0.335344702005386","-0.829313814640045","0.412513941526413","0.53428715467453","-0.324687868356705","-0.416098773479462","0.318304568529129","0.387661010026932","-0.368497043848038","0.436074674129486","0.374898850917816","-0.358770340681076","0.405477285385132","-0.506756663322449","0.220965623855591","0.472469538450241","0.326160401105881"
"n3_16","0.43926152586937","-0.521298229694366","0.477178364992142","0.270057737827301","-0.548253834247589","-0.360121756792068","0.460558235645294","0.353224337100983","-0.532940566539764","0.324864685535431","-0.234237805008888","0.383023262023926","-0.53551197052002","-0.554092824459076","0.466353565454483","-0.250139176845551","0.299030035734177","0.52310174703598","0.675604939460754","0.810715198516846","-0.305152028799057","-0.500039577484131","0.381861597299576","0.468840956687927","-0.354710757732391","-0.287104725837708","0.415120452642441","-0.511059761047363","-0.191181614995003","0.540992379188538","-0.257930368185043","0.268799930810928","-0.493742376565933","-0.122682221233845","-0.286248803138733"
"n3_17","0.333157807588577","-0.448511779308319","0.328426420688629","0.309724003076553","-0.296442091464996","-0.302913457155228","0.5244300365448","0.0726597830653191","-0.522115528583527","0.489237844944","-0.469720602035522","0.468922674655914","-0.289136976003647","-0.59701806306839","0.59261167049408","-0.368405640125275","0.486704915761948","0.349865019321442","0.223505899310112","0.00345161044970155","-0.374600797891617","-0.514411866664886","0.229637965559959","0.416354089975357","-0.232231020927429","-0.319992572069168","0.186176717281342","-0.131168499588966","-0.413073092699051","0.39236906170845","-0.476521968841553","0.251362174749374","-0.412353336811066","-0.414696395397186","-0.597693681716919"
"n3_18","-0.376510173082352","0.181406170129776","-0.215834483504295","-0.141775861382484","0.443061858415604","0.310803115367889","-0.148962944746017","-0.21780326962471","0.378537893295288","-0.532607555389404","0.249231949448586","-0.554752469062805","0.460199445486069","0.503432214260101","-0.491258561611176","0.317198038101196","-0.555107772350311","-0.154541656374931","-0.445779293775558","-0.658122658729553","0.336525321006775","0.166018411517143","-0.206275463104248","-0.227708637714386","0.191274955868721","0.41317144036293","-0.355787307024002","0.466687649488449","0.484820693731308","-0.0566314645111561","0.19357867538929","-0.251507490873337","0.366062104701996","0.397290676832199","0.363071173429489"
"n3_19","-0.415692687034607","0.194602072238922","-0.395937949419022","-0.34267795085907","0.34039494395256","0.363092392683029","-0.439368307590485","-0.246178522706032","0.33698171377182","-0.432930827140808","0.409876734018326","-0.738630533218384","0.172363877296448","0.407458305358887","-0.320587426424026","0.429676234722137","-0.694331228733063","-0.339485496282578","-0.42216432094574","-0.547078907489777","0.157695099711418","0.112832173705101","-0.224027410149574","-0.339964896440506","0.417183756828308","0.42652815580368","-0.578621208667755","0.584786593914032","0.16816420853138","-0.287277430295944","0.168775960803032","-0.535473644733429","0.109937287867069","0.219191044569016","0.145334213972092"
"n3_20","0.334520250558853","-0.381877213716507","0.00342463096603751","0.21948653459549","-0.308307081460953","-0.285878509283066","0.473691254854202","0.149403527379036","-0.318199127912521","0.102059215307236","-0.251409709453583","0.454187870025635","-0.322948664426804","-0.526099920272827","0.404277414083481","-0.245387062430382","0.536662697792053","0.227271839976311","0.0286710970103741","0.260363578796387","-0.304256677627563","-0.255184561014175","0.565995812416077","0.165882676839828","-0.419872760772705","-0.482758820056915","0.113112807273865","-0.256028205156326","-0.641986310482025","-0.131040692329407","-0.507201313972473","0.493206709623337","-0.352415651082993","-0.473385691642761","-0.321991801261902"
