"dummy","n1"
"n1_138","0.235042825341225"
"n1_139","-0.29187348484993"
"n1_140","-0.196529999375343"
"n1_141","-0.514954090118408"
"n1_142","-0.19050121307373"
"n1_143","-0.468074381351471"
"n1_144","0.198702916502953"
"n1_145","-0.478046536445618"
"n1_146","-0.348449021577835"
"n1_147","-0.285498291254044"
"n1_148","-1.15885484218597"
"n1_149","0.0289444699883461"
"n1_150","0.0352133587002754"
"n1_151","0.161369055509567"
"n1_152","-0.287759780883789"
"n1_153","-0.210009291768074"
"n1_154","-0.684338390827179"
"n1_155","-0.408640772104263"
"n1_156","-0.351116150617599"
"n1_157","-0.319534480571747"
"n1_158","0.079047791659832"
"n1_159","-0.227595120668411"
"n1_160","0.0476754233241081"
"n1_161","-0.178300529718399"
"n1_162","-0.0761933997273445"
"n1_163","-0.292781084775925"
"n1_164","0.0938909500837326"
"n1_165","0.185991555452347"
"n1_166","0.300711303949356"
"n1_167","-0.293641686439514"
"n1_168","0.0890699774026871"
"n1_169","-0.0267826430499554"
"n1_170","-0.62697970867157"
"n1_171","-0.412927180528641"
"n1_172","0.156048193573952"
"n1_173","-0.474597454071045"
"n1_174","0.258819788694382"
"n1_175","0.110427141189575"
"n1_176","0.232405468821526"
"n1_177","0.127198114991188"
"n1_178","-0.631172835826874"
"n1_179","-0.143318220973015"
"n1_180","-0.900684058666229"
"n1_181","-0.333662927150726"
"n1_182","-0.5890212059021"
"n1_183","-0.279296308755875"
"n1_184","0.230070933699608"
"n1_185","-0.623871445655823"
"n1_186","-0.115993529558182"
"n1_187","-0.331773072481155"
"n1_188","0.252612859010696"
"n1_189","-0.68936413526535"
"n1_190","-0.155763059854507"
"n1_191","-0.00608547125011683"
"n1_192","-0.210960820317268"
"n1_193","-0.579118609428406"
"n1_194","-0.46139007806778"
"n1_195","-0.441698402166367"
"n1_196","-0.738074958324432"
"n1_197","-0.67786306142807"
"n1_198","0.0881965383887291"
"n1_199","-0.297631949186325"
"n1_200","-0.257926970720291"
"n1_201","-0.383353561162949"
"n1_202","-0.198864370584488"
"n1_203","-0.0312124062329531"
"n1_204","-0.302736103534698"
"n1_205","-0.358358263969421"
"n1_206","-0.365610867738724"
"n1_207","-0.354131817817688"
"n1_208","0.142448246479034"
"n1_209","-0.68641859292984"
"n1_210","0.0359783470630646"
"n1_211","-0.832746803760529"
"n1_212","0.0214868932962418"
"n1_213","0.00376398302614689"
"n1_214","-0.850209474563599"
"n1_215","-0.390730917453766"
"n1_216","-0.480064183473587"
"n1_217","-0.82052081823349"
"n1_218","-0.504322648048401"
"n1_219","-0.472788602113724"
"n1_220","0.000504677358549088"
"n1_221","-1.20927608013153"
"n1_222","0.0199110079556704"
"n1_223","-0.0518690459430218"
"n1_224","-0.326844066381454"
"n1_225","0.0857043489813805"
"n1_226","-0.306943506002426"
"n1_227","-0.0305729229003191"
"n1_228","-0.277481138706207"
"n1_229","-0.228169694542885"
"n1_230","-0.595794796943665"
"n1_231","-0.910163879394531"
"n1_232","-0.0549914836883545"
"n1_233","0.0351451337337494"
"n1_234","-0.36184373497963"
"n1_235","-0.796516358852386"
"n1_236","-0.648763656616211"
"n1_237","-0.516038060188293"
"n1_238","-0.188774436712265"
"n1_239","-0.505450189113617"
"n1_240","-0.134283423423767"
"n1_241","0.164048478007317"
"n1_242","-0.649418473243713"
"n1_243","-0.306715756654739"
"n1_244","-0.0570466034114361"
"n1_245","0.355945378541946"
"n1_246","-0.23743462562561"
"n1_247","-0.486591875553131"
"n1_248","-0.31690177321434"
"n1_249","0.381036102771759"
"n1_250","-0.104480914771557"
"n1_251","-0.250622808933258"
"n1_252","-0.264034956693649"
"n1_253","0.0975786671042442"
"n1_254","-0.753119170665741"
"n1_255","0.119388796389103"
"n1_256","0.209069564938545"
"n1_257","-0.217606157064438"
"n1_258","-0.0996763780713081"
"n1_259","-0.17798438668251"
"n1_260","-0.127428933978081"
"n1_261","-0.302759021520615"
"n1_262","-0.089068315923214"
"n1_263","-0.0472492314875126"
"n1_264","-0.0810727253556252"
"n1_265","-1.29576802253723"
"n1_266","-0.466437637805939"
"n1_267","-0.0500338040292263"
"n1_268","-0.593264281749725"
"n1_269","-0.285221040248871"
"n1_270","-0.132965356111526"
"n1_271","-0.628983020782471"
"n1_272","-0.199863523244858"
"n1_273","-0.214123904705048"
"n1_274","-0.0475696288049221"
"n1_275","-0.43589723110199"
"n1_276","-0.350840419530869"
"n1_277","-0.409744262695312"
"n1_278","-0.126146838068962"
"n1_279","-0.00486830715090036"
"n1_280","0.0445681698620319"
"n1_281","-0.119283430278301"
"n1_282","-0.550583958625793"
"n1_283","-0.795701563358307"
"n1_284","-0.0384902879595757"
"n1_285","0.0558157600462437"
"n1_286","-0.00254747713916004"
"n1_287","-0.16869455575943"
"n1_288","0.0546117797493935"
"n1_289","-0.0358119569718838"
"n1_290","-0.140155300498009"
"n1_291","-0.361477136611938"
"n1_292","-0.294001251459122"
"n1_293","0.0806656554341316"
"n1_294","0.088969886302948"
"n1_295","-0.141767799854279"
"n1_296","-0.814511239528656"
"n1_297","0.139875844120979"
"n1_298","-0.59056156873703"
"n1_299","-0.0719384998083115"
"n1_300","-0.00351034803315997"
