"dummy","b2"
"w2_69","0.885810256004333"
"w2_70","0.648746609687805"
"w2_71","-0.742745101451874"
"w2_72","-2.99149513244629"
"w2_73","-0.546961903572083"
"w2_74","-1.71654736995697"
"w2_75","-3.14488410949707"
"w2_76","-2.21354007720947"
"w2_77","-0.854435980319977"
"w2_78","-0.632510244846344"
"w2_79","-1.45465517044067"
"w2_80","-0.802784621715546"
"w2_81","-1.85775220394135"
"w2_82","-2.29032444953918"
"w2_83","0.322273075580597"
"w2_84","-1.76776230335236"
"w2_85","-0.818956911563873"
"w2_86","-2.2379424571991"
"w2_87","-1.91235947608948"
"w2_88","-0.884366035461426"
"w2_89","-0.416862547397614"
"w2_90","-1.92030191421509"
"w2_91","-0.0692805871367455"
"w2_92","-2.31931042671204"
"w2_93","-1.65234577655792"
"w2_94","-3.05508828163147"
"w2_95","-2.35432100296021"
"w2_96","-3.23039865493774"
"w2_97","-1.0388640165329"
"w2_98","-0.422640413045883"
"w2_99","-1.14997661113739"
"w2_100","-1.45106852054596"
"w2_101","-5.20889759063721"
"w2_102","0.0206201430410147"
"w2_103","-1.07081937789917"
"w2_104","-0.878391802310944"
"w2_105","-1.0091210603714"
"w2_106","-3.76803302764893"
"w2_107","0.657437562942505"
"w2_108","-0.996362268924713"
"w2_109","-1.73219263553619"
"w2_110","-0.239244893193245"
"w2_111","-0.127154394984245"
"w2_112","0.0130404606461525"
"w2_113","-1.70089054107666"
"w2_114","0.749819338321686"
"w2_115","-1.94031047821045"
"w2_116","-1.05390441417694"
"w2_117","-1.25651216506958"
"w2_118","1.22314178943634"
"w2_119","-1.88567769527435"
"w2_120","-0.314302325248718"
"w2_121","-1.4283150434494"
"w2_122","0.410483837127686"
"w2_123","1.10566866397858"
"w2_124","-1.56942236423492"
"w2_125","-1.07588362693787"
"w2_126","-1.98403918743134"
"w2_127","-1.29083454608917"
"w2_128","-2.0409619808197"
"w2_129","-0.636976420879364"
"w2_130","-1.54188001155853"
"w2_131","-1.17823946475983"
"w2_132","1.3087854385376"
"w2_133","-2.91866755485535"
"w2_134","-0.79043185710907"
"w2_135","-0.21875736117363"
"w2_136","-0.569838523864746"
"w2_137","-1.66662263870239"
"w2_138","-0.693367183208466"
"w2_139","-1.93204605579376"
"w2_140","-3.07980394363403"
"w2_141","-1.78615581989288"
"w2_142","-0.607536435127258"
"w2_143","-0.876124143600464"
"w2_144","-0.84969562292099"
"w2_145","-0.596481025218964"
"w2_146","-4.48234605789185"
"w2_147","-3.51925182342529"
"w2_148","-2.64404988288879"
"w2_149","-0.177703529596329"
"w2_150","-0.195697724819183"
"w2_151","0.88923704624176"
"w2_152","-1.59092700481415"
"w2_153","-1.51049721240997"
"w2_154","-2.24097728729248"
"w2_155","-3.70392751693726"
"w2_156","-1.53992998600006"
"w2_157","-1.46838641166687"
"w2_158","-0.597542703151703"
"w2_159","-1.10199379920959"
"w2_160","-0.616475224494934"
"w2_161","-1.62117457389832"
"w2_162","-1.62483155727386"
"w2_163","-2.07055759429932"
"w2_164","-0.200501307845116"
"w2_165","1.7196319103241"
"w2_166","-2.82342934608459"
"w2_167","-2.59329032897949"
"w2_168","-0.986059069633484"
"w2_169","-1.05935060977936"
"w2_170","-0.647428691387177"
"w2_171","-0.78126847743988"
"w2_172","-1.59003496170044"
"w2_173","-1.09809410572052"
"w2_174","-0.0521381311118603"
"w2_175","0.195847019553185"
"w2_176","0.0175925269722939"
"w2_177","-1.02737617492676"
"w2_178","-0.972759604454041"
"w2_179","-1.64249503612518"
"w2_180","-1.61771488189697"
"w2_181","0.0107379434630275"
"w2_182","-2.47363901138306"
"w2_183","-0.98392778635025"
"w2_184","-1.43493783473969"
"w2_185","-3.50484609603882"
"w2_186","-2.56162071228027"
"w2_187","-1.44955968856812"
"w2_188","-1.96418440341949"
"w2_189","-1.21216416358948"
"w2_190","-1.35631859302521"
"w2_191","-3.13052535057068"
"w2_192","-2.89255452156067"
"w2_193","-1.60340452194214"
"w2_194","0.778651356697083"
"w2_195","-1.54844558238983"
"w2_196","-0.195675104856491"
"w2_197","-2.64073395729065"
"w2_198","-1.01689291000366"
"w2_199","-1.01044905185699"
"w2_200","-2.27362394332886"
